slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
fuse_request          40     40    400   20    2 : tunables    0    0    0 : slabdata      2      2      0
fuse_inode            21     21    768   21    4 : tunables    0    0    0 : slabdata      1      1      0
nf_conntrack_expect      0      0    224   18    1 : tunables    0    0    0 : slabdata      0      0      0
nf_conntrack          36     36    320   12    1 : tunables    0    0    0 : slabdata      3      3      0
rpc_inode_cache       24     24    640   12    2 : tunables    0    0    0 : slabdata      2      2      0
ext4_groupinfo_4k    168    168    144   28    1 : tunables    0    0    0 : slabdata      6      6      0
ip6-frags              0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
UDPv6                 42     42   1152   14    4 : tunables    0    0    0 : slabdata      3      3      0
tw_sock_TCPv6          0      0    248   16    1 : tunables    0    0    0 : slabdata      0      0      0
request_sock_TCPv6      0      0    312   13    1 : tunables    0    0    0 : slabdata      0      0      0
TCPv6                 15     15   2112   15    8 : tunables    0    0    0 : slabdata      1      1      0
kcopyd_job             0      0   3240   10    8 : tunables    0    0    0 : slabdata      0      0      0
dm_uevent              0      0   2632   12    8 : tunables    0    0    0 : slabdata      0      0      0
cfq_queue            102    102    240   17    1 : tunables    0    0    0 : slabdata      6      6      0
mqueue_inode_cache     18     18    896   18    4 : tunables    0    0    0 : slabdata      1      1      0
jbd2_journal_head    544    544    120   34    1 : tunables    0    0    0 : slabdata     16     16      0
jbd2_revoke_table_s    256    256     16  256    1 : tunables    0    0    0 : slabdata      1      1      0
jbd2_revoke_record_s    256    256     32  128    1 : tunables    0    0    0 : slabdata      2      2      0
ext4_inode_cache    7605   7605   1080   15    4 : tunables    0    0    0 : slabdata    507    507      0
ext4_allocation_context     64     64    128   32    1 : tunables    0    0    0 : slabdata      2      2      0
ext4_io_end          128    128     64   64    1 : tunables    0    0    0 : slabdata      2      2      0
ext4_extent_status   5508   5508     40  102    1 : tunables    0    0    0 : slabdata     54     54      0
mbcache              146    146     56   73    1 : tunables    0    0    0 : slabdata      2      2      0
fscrypt_info           0      0     24  170    1 : tunables    0    0    0 : slabdata      0      0      0
fscrypt_ctx          170    170     48   85    1 : tunables    0    0    0 : slabdata      2      2      0
userfaultfd_ctx_cache      0      0    192   21    1 : tunables    0    0    0 : slabdata      0      0      0
dio                    0      0    640   12    2 : tunables    0    0    0 : slabdata      0      0      0
pid_namespace          0      0   2232   14    8 : tunables    0    0    0 : slabdata      0      0      0
posix_timers_cache      0      0    216   18    1 : tunables    0    0    0 : slabdata      0      0      0
ip4-frags              0      0    184   22    1 : tunables    0    0    0 : slabdata      0      0      0
xfrm_dst_cache         0      0    448   18    2 : tunables    0    0    0 : slabdata      0      0      0
PING                   0      0    896   18    4 : tunables    0    0    0 : slabdata      0      0      0
UDP                   51     51    960   17    4 : tunables    0    0    0 : slabdata      3      3      0
tw_sock_TCP           16     16    248   16    1 : tunables    0    0    0 : slabdata      1      1      0
request_sock_TCP       0      0    312   13    1 : tunables    0    0    0 : slabdata      0      0      0
TCP                   32     32   1984   16    8 : tunables    0    0    0 : slabdata      2      2      0
hugetlbfs_inode_cache     26     26    608   13    2 : tunables    0    0    0 : slabdata      2      2      0
dquot                 32     32    256   16    1 : tunables    0    0    0 : slabdata      2      2      0
scsi_data_buffer  129880 129880     24  170    1 : tunables    0    0    0 : slabdata    764    764      0
request_queue         21     21   1520   21    8 : tunables    0    0    0 : slabdata      1      1      0
blkdev_ioc           117    117    104   39    1 : tunables    0    0    0 : slabdata      3      3      0
user_namespace         0      0    488   16    2 : tunables    0    0    0 : slabdata      0      0      0
dmaengine-unmap-256     15     15   2112   15    8 : tunables    0    0    0 : slabdata      1      1      0
dmaengine-unmap-128     15     15   1088   15    4 : tunables    0    0    0 : slabdata      1      1      0
sock_inode_cache     444    444    640   12    2 : tunables    0    0    0 : slabdata     37     37      0
file_lock_cache       38     38    208   19    1 : tunables    0    0    0 : slabdata      2      2      0
net_namespace          5      5   5824    5    8 : tunables    0    0    0 : slabdata      1      1      0
shmem_inode_cache   1127   1127    696   23    4 : tunables    0    0    0 : slabdata     49     49      0
taskstats             36     36    328   12    1 : tunables    0    0    0 : slabdata      3      3      0
proc_inode_cache    2644   2796    664   12    2 : tunables    0    0    0 : slabdata    233    233      0
sigqueue              50     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
bdev_cache            38     38    832   19    4 : tunables    0    0    0 : slabdata      2      2      0
kernfs_node_cache  16218  16218    120   34    1 : tunables    0    0    0 : slabdata    477    477      0
mnt_cache            231    231    384   21    2 : tunables    0    0    0 : slabdata     11     11      0
inode_cache        14430  14430    592   13    2 : tunables    0    0    0 : slabdata   1110   1110      0
dentry             99036  99036    192   21    1 : tunables    0    0    0 : slabdata   4716   4716      0
buffer_head        11193  11193    104   39    1 : tunables    0    0    0 : slabdata    287    287      0
mm_struct            128    128   1984   16    8 : tunables    0    0    0 : slabdata      8      8      0
files_cache          138    138    704   23    4 : tunables    0    0    0 : slabdata      6      6      0
signal_cache         188    210   1088   15    4 : tunables    0    0    0 : slabdata     14     14      0
sighand_cache        180    180   2112   15    8 : tunables    0    0    0 : slabdata     12     12      0
task_struct          274    288   9600    3    8 : tunables    0    0    0 : slabdata     96     96      0
cred_jar           15750  15750    192   21    1 : tunables    0    0    0 : slabdata    750    750      0
Acpi-Operand        2413   3080     72   56    1 : tunables    0    0    0 : slabdata     55     55      0
Acpi-Parse           584    584     56   73    1 : tunables    0    0    0 : slabdata      8      8      0
Acpi-State           306    306     80   51    1 : tunables    0    0    0 : slabdata      6      6      0
Acpi-Namespace     26520  26520     40  102    1 : tunables    0    0    0 : slabdata    260    260      0
anon_vma_chain      9440   9792     64   64    1 : tunables    0    0    0 : slabdata    153    153      0
anon_vma            5569   5763     80   51    1 : tunables    0    0    0 : slabdata    113    113      0
pid                  352    352    128   32    1 : tunables    0    0    0 : slabdata     11     11      0
numa_policy           15     15    264   15    1 : tunables    0    0    0 : slabdata      1      1      0
trace_event_file    1380   1380     88   46    1 : tunables    0    0    0 : slabdata     30     30      0
ftrace_event_field   3145   3145     48   85    1 : tunables    0    0    0 : slabdata     37     37      0
radix_tree_node     3906   3906    584   14    2 : tunables    0    0    0 : slabdata    279    279      0
task_group            70     70    576   14    2 : tunables    0    0    0 : slabdata      5      5      0
dma-kmalloc-8192       0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-4096       0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-2048       0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-1024       0      0   1024   16    4 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-512       16     16    512   16    2 : tunables    0    0    0 : slabdata      1      1      0
dma-kmalloc-256        0      0    256   16    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-128        0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-64         0      0     64   64    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-32         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-16         0      0     16  256    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-8          0      0      8  512    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-192        0      0    192   21    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-96         0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-8192          60     60   8192    4    8 : tunables    0    0    0 : slabdata     15     15      0
kmalloc-4096         303    320   4096    8    8 : tunables    0    0    0 : slabdata     40     40      0
kmalloc-2048         368    368   2048   16    8 : tunables    0    0    0 : slabdata     23     23      0
kmalloc-1024        1175   1200   1024   16    4 : tunables    0    0    0 : slabdata     75     75      0
kmalloc-512          751    832    512   16    2 : tunables    0    0    0 : slabdata     52     52      0
kmalloc-256         6128   6128    256   16    1 : tunables    0    0    0 : slabdata    383    383      0
kmalloc-192         1596   1596    192   21    1 : tunables    0    0    0 : slabdata     76     76      0
kmalloc-128         1120   1120    128   32    1 : tunables    0    0    0 : slabdata     35     35      0
kmalloc-96          5376   5376     96   42    1 : tunables    0    0    0 : slabdata    128    128      0
kmalloc-64         31232  31232     64   64    1 : tunables    0    0    0 : slabdata    488    488      0
kmalloc-32        133036 133376     32  128    1 : tunables    0    0    0 : slabdata   1042   1042      0
kmalloc-16         62464  62464     16  256    1 : tunables    0    0    0 : slabdata    244    244      0
kmalloc-8          88064  88064      8  512    1 : tunables    0    0    0 : slabdata    172    172      0
kmem_cache_node      192    192     64   64    1 : tunables    0    0    0 : slabdata      3      3      0
kmem_cache           120    120    320   12    1 : tunables    0    0    0 : slabdata     10     10      0
